region,child_mortality_percent,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,poverty_percent,welfare_expense_share,real_incomes,real_pay,living area,bad conditions,no funds,population,grp,reg_prod_total,retail,newborn_per_population,disabled_percent,all crimes,alco,drug
Еврейская автономная область,0.5219781557164657,70367.2,6.487988386163113,635.7,3.068052935133617,23.6,31.2,4.607168188650764,103.7,2.6946271807700692,0.6418538861723947,0.0,11.972285147867176,12.900073211852884,5.870316194178998,12.032117988405824,0.700056078622254,1.4296916035318767,7.01301578963963,87.0,4.1956970564823886
Забайкальский край,0.41386717827550723,65922.4,5.474369310328396,482.7,3.095577608523707,20.9,26.5,4.6141299273595635,102.9,2.89591193827178,1.0296194171811581,0.9517736991194866,13.873497350825783,12.905687863166358,6.116073249936694,12.012135892763904,0.7784388260649143,1.3788352625892053,9.13075589263334,77.7,2.3608540011180215
Ивановская область,0.3149738333281879,88473.5,5.603593747400769,516.2,0.0,13.7,25.1,4.58700621536042,101.6,2.9496883350525844,0.9162907318741551,0.42918163472548043,13.812642448868766,12.520235365231526,6.090936998298462,12.102460600406465,0.5644458331595676,1.2600039385217012,8.402679804627477,78.5,1.9021075263969205
Иркутская область,0.4795800992957513,99980.3,5.493884150092012,567.7,1.9459101490553132,17.6,28.6,4.619073091157083,103.5,2.8507065015037334,0.9555114450274363,1.0854595020898092,14.687303380748316,13.356000320008484,6.927236167122647,12.01297321556434,0.7584070869708397,1.5658473078365258,9.697446909121581,81.7,2.8154087194227095
Кабардино-Балкарская Республика,0.43017918805359,44792.0,5.018603463745433,224.4,2.2192034840549946,24.2,34.4,4.602165676967792,105.0,2.990719731730447,0.4054651081081644,0.0,13.67435128978397,12.25807241530521,4.757060930969444,11.947800496924183,0.7980325444842472,1.495564137036659,7.892078421248119,51.6,2.3978952727983707
Калининградская область,0.3198429327468051,82758.6,5.96563378707346,360.7,0.0,13.5,12.6,4.607168188650764,99.2,2.8094026953624978,1.0647107369924282,0.0,13.827945917386579,13.18070379240559,7.1612758629991875,12.118808509326898,0.650826632957341,1.194018953508291,8.475746001502063,79.1,1.6486586255873816
Калужская область,0.27116528571872817,75548.6,5.012633296758929,468.4,0.0,9.7,16.9,4.607168188650764,102.4,2.803360380906535,0.1823215567939546,0.0,13.818083245763209,13.232428887197758,7.519926677253005,12.276871219088763,0.6400582104168105,1.2980762708481228,8.443977129084978,58.1,1.9459101490553132
Камчатский край,0.3591410364339258,77458.3,5.438079308923196,513.7,0.0,14.6,13.3,4.635699391022914,103.8,2.8273136219290276,1.3862943611198906,1.6985470875058764,12.65401278114643,13.756612632050082,7.041870632590281,12.217768975990998,0.7105404655515972,1.0496930492840708,7.641084249174914,63.1,2.322387720290225
Карачаево-Черкесская Республика,0.3977501303188152,63347.1,4.467056883858457,236.4,0.0,23.2,26.5,4.5880240271531205,107.0,2.9601050959108397,1.2809338454620642,1.0928959816720005,13.050929672362434,12.242754079749515,5.1664645614590805,11.332793509249266,0.7416500720135216,1.996830709583044,7.549082710812286,21.7,1.8562979903656263
Кемеровская область,0.4524688874339334,86241.9,6.018349875889364,564.9,2.0794415416798357,13.2,23.0,4.596129441335942,100.6,2.8507065015037334,0.6931471805599453,0.41111577961697887,14.793029964472339,12.87997558786574,7.040207552415338,11.938415397909093,0.6142342263872026,1.4337459232614171,9.987736784981028,39.7,2.5494451709255714
